iso3,name,target,predicted,residual,quant_score,qual_score,cof_contribution,cof_raw,debt_service_ratio_contribution,debt_service_ratio_raw,gdp_capita_contribution,gdp_capita_raw,pr_contribution,pr_raw,rol_contribution,rol_raw
DZA,ALGERIA,0.352064620713269,0.7520034840681498,-0.39993886335488077,2.129079319640386,0.7253982223770199,0.4670641152285094,1.06,0.8167157575118476,1.7,0.8452994469000293,5680.0,0.10134998524704626,5.0,-0.13048781179882102,-0.758924148781615
BGD,BANGLADESH,1.22287004160903,0.7435268333081628,0.4793432083008671,2.129079319640386,0.6832183887045898,0.4670641152285094,5.0,0.8167157575118476,3.4,0.8452994469000293,649.0,0.06080999114822776,3.0,-0.13212765137243257,-0.768461544155064
BOL,"BOLIVIA, PLURINATIONAL STATE OF",-0.538682909057974,0.7455034663421927,-1.2841863754001666,2.129079319640386,0.693054119226881,0.4670641152285094,1.8,0.8167157575118476,4.8,0.8452994469000293,2220.0,0.12161998229645551,6.0,-0.1831019119983692,-1.06493059227547
BWA,BOTSWANA,1.03674369210459,0.7930029235174793,0.2437407685871108,2.129079319640386,0.929411527348693,0.4670641152285094,9.5,0.8167157575118476,2.1,0.8452994469000293,8450.0,0.06080999114822776,3.0,0.11406548727167065,0.663411023908326
BFA,BURKINA FASO,0.219117228210094,0.7708350120983688,-0.5517177838882747,2.129079319640386,0.819103949155548,0.4670641152285094,3.3,0.8167157575118476,3.3,0.8452994469000293,597.0,0.10134998524704626,5.0,-0.03678208502029296,-0.213926589614947
CMR,CAMEROON,0.837322603349841,0.7462386310835873,0.09108397226625364,2.129079319640386,0.6967123006704579,0.4670641152285094,4.0,0.8167157575118476,6.5,0.8452994469000293,1280.0,0.12161998229645551,6.0,-0.17944373055479232,-1.04365441176571
CHN,CHINA,1.92084385225068,0.7621688516594074,1.1586750005912727,2.129079319640386,0.7759811148847933,0.4670641152285094,5.3,0.8167157575118476,1.7,0.8452994469000293,5340.0,0.08107998819763701,4.0,-0.05963492224163844,-0.346839923024153
COD,"CONGO, THE DEMOCRATIC REP OF THE",0.71102258047183,0.7306755914534814,-0.019653010981651398,2.129079319640386,0.6192705796862706,0.4670641152285094,17.0,0.8167157575118476,2.1,0.8452994469000293,240.0,0.14188997934586478,7.0,-0.2771554485883888,-1.61195103205823
CIV,COTE D'IVOIRE,1.05668580098007,0.7402165968013181,0.3164692041787518,2.129079319640386,0.6667466442351581,0.4670641152285094,4.3,0.8167157575118476,4.3,0.8452994469000293,1050.0,0.12161998229645551,6.0,-0.2094093869900921,-1.21793628521688
DOM,DOMINICAN REPUBLIC,0.418538316964854,0.7544104149039255,-0.33587209793907147,2.129079319640386,0.7373751157502008,0.4670641152285094,7.5,0.8167157575118476,8.0,0.8452994469000293,5780.0,0.12161998229645551,6.0,-0.1387809154750495,-0.807157286892191
