iso3,name,region,as_of_year,hdi_value,segment
MAC,MACAO,EMERGING_NON_AFRICA,2011,0.75,HIGH
MKD,"MACEDONIA, THE FORMER YUGOSLAV REP",EMERGING_NON_AFRICA,2011,0.75,HIGH
MDG,MADAGASCAR,AFRICA,2011,0.45,NODATA
MWI,MALAWI,AFRICA,2011,0.45,LOW
MYS,MALAYSIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
MLI,MALI,AFRICA,2011,0.45,LOW
MLT,MALTA,DEVELOPED,2011,0.9,NODATA
MUS,MAURITIUS,AFRICA,2011,0.75,HIGH
MEX,MEXICO,EMERGING_NON_AFRICA,2011,0.75,HIGH
MCO,MONACO,DEVELOPED,2011,0.9,NODATA
MNG,MONGOLIA,EMERGING_NON_AFRICA,2011,0.6,LOW
MAR,MOROCCO,AFRICA,2011,0.6,LOW
MOZ,MOZAMBIQUE,AFRICA,2011,0.45,LOW
NAM,NAMIBIA,EMERGING_NON_AFRICA,2011,0.6,LOW
NLD,NETHERLANDS,DEVELOPED,2011,0.9,HIGH
ANT,NETHERLANDS ANTILLES,EMERGING_NON_AFRICA,2011,0.9,NODATA
NZL,NEW ZEALAND,DEVELOPED,2011,0.9,HIGH
NIC,NICARAGUA,EMERGING_NON_AFRICA,2011,0.6,NODATA
NGA,NIGERIA,AFRICA,2011,0.6,LOW
NOR,NORWAY,DEVELOPED,2011,0.9,HIGH
OMN,OMAN,EMERGING_NON_AFRICA,2011,0.75,HIGH
PAK,PAKISTAN,EMERGING_NON_AFRICA,2011,0.45,LOW
PSE,"PALESTINIAN TERRITORY, OCCUPIED",EMERGING_NON_AFRICA,2011,0.6,NODATA
PAN,PANAMA,EMERGING_NON_AFRICA,2011,0.75,HIGH
PNG,PAPUA NEW GUINEA,EMERGING_NON_AFRICA,2011,0.45,LOW
PER,PERU,EMERGING_NON_AFRICA,2011,0.75,HIGH
PHL,PHILIPPINES,EMERGING_NON_AFRICA,2011,0.6,LOW
POL,POLAND,EMERGING_NON_AFRICA,2011,0.9,HIGH
